Temp,Run,InitialTemp,CoolingRate,Iterations,FinalCost,ExecutionTime_sec,StartTime,EndTime
10,4,10,0.95,100,446505288,120.9846,2025-05-19 00:50:40,2025-05-19 00:52:41
10,2,10,0.95,100,450992975,121.251,2025-05-19 00:50:40,2025-05-19 00:52:42
10,8,10,0.95,100,448111691,121.6647,2025-05-19 00:50:41,2025-05-19 00:52:42
10,5,10,0.95,100,452181724,121.8476,2025-05-19 00:50:40,2025-05-19 00:52:42
10,8,10,0.95,100,454971546,147.9235,2025-05-19 01:04:13,2025-05-19 01:06:40
10,6,10,0.95,100,443395754,149.0595,2025-05-19 01:04:13,2025-05-19 01:06:42
10,7,10,0.95,100,448874709,149.2152,2025-05-19 01:04:13,2025-05-19 01:06:42
10,1,10,0.95,100,455767876,149.7632,2025-05-19 01:04:12,2025-05-19 01:06:42
10,3,10,0.95,100,449837859,150.7061,2025-05-19 01:04:12,2025-05-19 01:06:43
10,5,10,0.95,100,442087322,150.8593,2025-05-19 01:04:12,2025-05-19 01:06:43
10,2,10,0.95,100,460340617,151.4088,2025-05-19 01:04:12,2025-05-19 01:06:44
10,4,10,0.95,100,461377794,151.4671,2025-05-19 01:04:12,2025-05-19 01:06:44
10,9,10,0.95,100,468543842,63.3096,2025-05-19 01:06:41,2025-05-19 01:07:44
10,10,10,0.95,100,453625177,63.0095,2025-05-19 01:06:42,2025-05-19 01:07:45
100,7,100,0.95,100,450224534,576.2123,2025-05-19 01:07:47,2025-05-19 01:17:24
100,4,100,0.95,100,453220744,576.576,2025-05-19 01:07:47,2025-05-19 01:17:24
100,2,100,0.95,100,463133602,577.269,2025-05-19 01:07:47,2025-05-19 01:17:25
100,6,100,0.95,100,445150348,578.2447,2025-05-19 01:07:47,2025-05-19 01:17:26
100,1,100,0.95,100,453947609,579.7768,2025-05-19 01:07:47,2025-05-19 01:17:27
100,3,100,0.95,100,450032070,580.4709,2025-05-19 01:07:47,2025-05-19 01:17:28
100,5,100,0.95,100,447301514,580.6517,2025-05-19 01:07:47,2025-05-19 01:17:28
100,8,100,0.95,100,459863662,581.9474,2025-05-19 01:07:47,2025-05-19 01:17:29
100,9,100,0.95,100,440824571,117.0891,2025-05-19 01:17:24,2025-05-19 01:19:22
100,10,100,0.95,100,446955379,118.3888,2025-05-19 01:17:25,2025-05-19 01:19:23
1000,4,1000,0.95,100,432649943,310.843,2025-05-19 01:19:24,2025-05-19 01:24:35
1000,2,1000,0.95,100,448049623,311.0375,2025-05-19 01:19:24,2025-05-19 01:24:35
1000,3,1000,0.95,100,451066512,315.5311,2025-05-19 01:19:24,2025-05-19 01:24:40
1000,6,1000,0.95,100,447856037,315.4829,2025-05-19 01:19:24,2025-05-19 01:24:40
1000,7,1000,0.95,100,457004594,317.8816,2025-05-19 01:19:24,2025-05-19 01:24:42
1000,8,1000,0.95,100,457189186,317.9069,2025-05-19 01:19:24,2025-05-19 01:24:42
1000,1,1000,0.95,100,456224367,319.0855,2025-05-19 01:19:24,2025-05-19 01:24:43
1000,5,1000,0.95,100,455522508,319.7127,2025-05-19 01:19:24,2025-05-19 01:24:44
1000,10,1000,0.95,100,455164449,126.7946,2025-05-19 01:24:36,2025-05-19 01:26:43
1000,9,1000,0.95,100,452222815,127.5732,2025-05-19 01:24:36,2025-05-19 01:26:43
